"","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots"
"1",37778,"Game # 1.  4 September 2013, Wednesday, 19:30","Dynamo Moscow","Traktor Chelyabinsk",5,39,1,20
"2",37779,"Game # 2.  5 September 2013, Thursday, 16:00","Metallurg Novokuznetsk","Sibir Novosibirsk Region",3,17,2,34
"3",37780,"Game # 3.  5 September 2013, Thursday, 19:30","Atlant Moscow Region","Spartak Moscow",0,37,2,32
"4",37781,"Game # 4.  5 September 2013, Thursday, 20:30","Dinamo Riga","Dinamo Minsk",2,20,1,17
"5",37782,"Game # 5.  6 September 2013, Friday, 12:00","Amur Khabarovsk","Admiral Vladivostok",3,34,3,35
"6",37783,"Game # 6.  6 September 2013, Friday, 16:00","Avangard Omsk Region","SKA Saint Petersburg",1,28,5,32
"7",37784,"Game # 7.  6 September 2013, Friday, 17:00","Ugra Khanty-Mansiysk","Lokomotiv Yaroslavl",2,40,1,36
"8",37785,"Game # 8.  6 September 2013, Friday, 17:00","Avtomobilist Yekaterinburg","Severstal Cherepovets",1,37,1,28
"9",37786,"Game # 9. 26 February 2014, Wednesday, 19:00","Ak Bars Kazan","Neftekhimik Nizhnekamsk",7,25,3,32
"10",37787,"Game # 10.  6 September 2013, Friday, 19:00","Torpedo Nizhny Novgorod","Salavat Yulaev Ufa",2,23,2,33
"11",37788,"Game # 11.  6 September 2013, Friday, 19:00","Vityaz Moscow Region","Traktor Chelyabinsk",5,32,3,16
"12",37789,"Game # 12.  6 September 2013, Friday, 19:30","Dynamo Moscow","Metallurg Magnitogorsk",3,29,1,29
"13",37790,"Game # 13.  6 September 2013, Friday, 20:00","Donbass Donetsk","Slovan Bratislava",4,35,2,15
"14",37791,"Game # 14.  6 September 2013, Friday, 19:30","Medvescak Zagreb","CSKA Moscow",7,30,1,28
"15",37792,"Game # 15.  8 September 2013, Sunday, 14:00","Avangard Omsk Region","Lokomotiv Yaroslavl",5,30,2,34
"16",37793,"Game # 16.  8 September 2013, Sunday, 15:00","Ugra Khanty-Mansiysk","Atlant Moscow Region",4,20,1,30
"17",37794,"Game # 17.  8 September 2013, Sunday, 15:00","Avtomobilist Yekaterinburg","SKA Saint Petersburg",4,32,6,42
"18",37795,"Game # 18.  8 September 2013, Sunday, 15:00","Barys Astana","Severstal Cherepovets",10,37,1,27
"19",37796,"Game # 19.  8 September 2013, Sunday, 17:00","Torpedo Nizhny Novgorod","Traktor Chelyabinsk",3,28,4,13
"20",37797,"Game # 20.  8 September 2013, Sunday, 17:00","Ak Bars Kazan","Salavat Yulaev Ufa",3,28,3,44
"21",37798,"Game # 21.  8 September 2013, Sunday, 17:00","Vityaz Moscow Region","Metallurg Magnitogorsk",4,22,5,35
"22",37799,"Game # 22.  8 September 2013, Sunday, 17:00","Dynamo Moscow","Neftekhimik Nizhnekamsk",4,33,0,31
"23",37800,"Game # 23.  8 September 2013, Sunday, 17:00","Spartak Moscow","Slovan Bratislava",5,20,0,23
"24",37801,"Game # 24.  8 September 2013, Sunday, 18:00","Dinamo Minsk","CSKA Moscow",1,21,2,29
"25",37802,"Game # 25.  8 September 2013, Sunday, 18:00","Donbass Donetsk","Lev Prague",3,39,2,29
"26",37803,"Game # 26.  8 September 2013, Sunday, 21:30","Medvescak Zagreb","Dinamo Riga",1,32,5,33
"27",37804,"Game # 27.  9 September 2013, Monday, 16:00","Metallurg Novokuznetsk","Amur Khabarovsk",3,26,1,43
"28",37805,"Game # 28.  9 September 2013, Monday, 16:00","Sibir Novosibirsk Region","Admiral Vladivostok",3,41,2,23
"29",37806,"Game # 29. 10 September 2013, Tuesday, 16:00","Avangard Omsk Region","Severstal Cherepovets",3,41,3,38
"30",37807,"Game # 30. 10 September 2013, Tuesday, 17:00","Ugra Khanty-Mansiysk","SKA Saint Petersburg",1,34,5,34
"31",37808,"Game # 31. 10 September 2013, Tuesday, 17:00","Avtomobilist Yekaterinburg","Atlant Moscow Region",2,38,2,29
"32",37809,"Game # 32. 10 September 2013, Tuesday, 17:00","Barys Astana","Lokomotiv Yaroslavl",5,35,3,28
"33",37810,"Game # 33. 10 September 2013, Tuesday, 19:00","Ak Bars Kazan","Traktor Chelyabinsk",3,39,2,22
"34",37811,"Game # 34. 10 September 2013, Tuesday, 19:00","Torpedo Nizhny Novgorod","Metallurg Magnitogorsk",5,27,0,20
"35",37812,"Game # 35. 10 September 2013, Tuesday, 19:00","Vityaz Moscow Region","Neftekhimik Nizhnekamsk",1,24,0,38
"36",37813,"Game # 36. 10 September 2013, Tuesday, 19:30","Dynamo Moscow","Salavat Yulaev Ufa",4,38,1,34
"37",37814,"Game # 37. 10 September 2013, Tuesday, 19:30","Spartak Moscow","Dinamo Riga",1,24,3,27
"38",37815,"Game # 38. 10 September 2013, Tuesday, 20:00","Donbass Donetsk","CSKA Moscow",1,23,4,32
"39",37816,"Game # 39. 10 September 2013, Tuesday, 20:00","Dinamo Minsk","Slovan Bratislava",2,19,0,26
"40",37817,"Game # 40. 10 September 2013, Tuesday, 21:30","Medvescak Zagreb","Lev Prague",1,25,3,31
"41",37818,"Game # 41. 11 September 2013, Wednesday, 16:00","Metallurg Novokuznetsk","Admiral Vladivostok",1,35,2,39
"42",37819,"Game # 42. 11 September 2013, Wednesday, 16:00","Sibir Novosibirsk Region","Amur Khabarovsk",2,45,2,41
"43",37820,"Game # 43. 12 September 2013, Thursday, 16:00","Avangard Omsk Region","Atlant Moscow Region",4,28,3,22
"44",37821,"Game # 44. 12 September 2013, Thursday, 17:00","Barys Astana","SKA Saint Petersburg",2,36,5,37
"45",37822,"Game # 45. 12 September 2013, Thursday, 17:00","Ugra Khanty-Mansiysk","Severstal Cherepovets",3,33,1,30
"46",37823,"Game # 46. 12 September 2013, Thursday, 17:00","Avtomobilist Yekaterinburg","Lokomotiv Yaroslavl",0,28,4,30
"47",37824,"Game # 47. 12 September 2013, Thursday, 19:00","Ak Bars Kazan","Metallurg Magnitogorsk",3,21,2,31
"48",37825,"Game # 48. 12 September 2013, Thursday, 19:00","Torpedo Nizhny Novgorod","Neftekhimik Nizhnekamsk",0,31,2,28
"49",37826,"Game # 49. 12 September 2013, Thursday, 19:00","Vityaz Moscow Region","Salavat Yulaev Ufa",2,34,3,33
"50",37827,"Game # 50. 12 September 2013, Thursday, 19:30","Spartak Moscow","CSKA Moscow",3,24,2,30
"51",37828,"Game # 51. 12 September 2013, Thursday, 20:00","Donbass Donetsk","Dinamo Riga",2,36,4,24
"52",37829,"Game # 52. 12 September 2013, Thursday, 20:00","Dinamo Minsk","Lev Prague",1,30,3,22
"53",37830,"Game # 53. 13 September 2013, Friday, 21:30","Medvescak Zagreb","Slovan Bratislava",3,26,4,35
"54",37831,"Game # 54. 14 September 2013, Saturday, 15:30","Barys Astana","Atlant Moscow Region",5,38,4,40
"55",37832,"Game # 55. 14 September 2013, Saturday, 13:00","Vityaz Moscow Region","Dynamo Moscow",0,18,2,36
"56",37833,"Game # 56. 14 September 2013, Saturday, 17:00","Spartak Moscow","Lev Prague",4,29,3,34
"57",37834,"Game # 57. 14 September 2013, Saturday, 18:00","CSKA Moscow","Dinamo Riga",1,21,1,18
"58",37835,"Game # 58. 15 September 2013, Sunday, 15:00","Ugra Khanty-Mansiysk","Avtomobilist Yekaterinburg",1,40,2,25
"59",37836,"Game # 59. 24 September 2013, Tuesday, 17:00","Traktor Chelyabinsk","Sibir Novosibirsk Region",1,20,0,27
"60",37837,"Game # 60. 16 September 2013, Monday, 17:00","Metallurg Magnitogorsk","Metallurg Novokuznetsk",3,35,1,35
"61",37838,"Game # 61. 16 September 2013, Monday, 17:00","Salavat Yulaev Ufa","Amur Khabarovsk",3,29,4,43
"62",37839,"Game # 62. 16 September 2013, Monday, 19:00","Neftekhimik Nizhnekamsk","Admiral Vladivostok",5,38,5,33
"63",37840,"Game # 63. 16 September 2013, Monday, 19:30","Lokomotiv Yaroslavl","Donbass Donetsk",3,23,4,26
"64",37841,"Game # 64. 16 September 2013, Monday, 19:00","Severstal Cherepovets","Dinamo Minsk",4,39,2,24
"65",37842,"Game # 65. 16 September 2013, Monday, 19:30","SKA Saint Petersburg","Medvescak Zagreb",3,24,0,31
"66",37843,"Game # 66. 17 September 2013, Tuesday, 17:00","Barys Astana","Avangard Omsk Region",5,35,2,25
"67",37844,"Game # 67. 17 September 2013, Tuesday, 19:30","CSKA Moscow","Dynamo Moscow",6,34,3,29
"68",37845,"Game # 68. 17 September 2013, Tuesday, 20:30","Dinamo Riga","Ak Bars Kazan",1,25,3,16
"69",37846,"Game # 69. 17 September 2013, Tuesday, 21:00","Slovan Bratislava","Torpedo Nizhny Novgorod",0,20,3,22
"70",37847,"Game # 70. 17 September 2013, Tuesday, 20:00","Lev Prague","Vityaz Moscow Region",4,34,1,23
"71",37848,"Game # 71. 18 September 2013, Wednesday, 17:00","Traktor Chelyabinsk","Metallurg Novokuznetsk",5,36,1,19
"72",37849,"Game # 72. 18 September 2013, Wednesday, 17:00","Metallurg Magnitogorsk","Sibir Novosibirsk Region",3,28,2,26
"73",37850,"Game # 73. 18 September 2013, Wednesday, 17:00","Salavat Yulaev Ufa","Admiral Vladivostok",4,27,1,33
"74",37851,"Game # 74. 18 September 2013, Wednesday, 19:00","Neftekhimik Nizhnekamsk","Amur Khabarovsk",6,45,2,42
"75",37852,"Game # 75. 18 September 2013, Wednesday, 19:30","Lokomotiv Yaroslavl","Spartak Moscow",1,33,1,39
"76",37853,"Game # 76. 18 September 2013, Wednesday, 19:00","Severstal Cherepovets","Medvescak Zagreb",6,36,2,30
"77",37854,"Game # 77. 18 September 2013, Wednesday, 19:30","Atlant Moscow Region","Donbass Donetsk",1,27,0,26
"78",37855,"Game # 78. 18 September 2013, Wednesday, 19:30","SKA Saint Petersburg","Dinamo Minsk",5,42,1,36
"79",37856,"Game # 79. 19 September 2013, Thursday, 17:00","Ugra Khanty-Mansiysk","Barys Astana",2,24,6,23
"80",37857,"Game # 80. 19 September 2013, Thursday, 17:00","Avtomobilist Yekaterinburg","Avangard Omsk Region",4,30,1,27
"81",37858,"Game # 81. 19 September 2013, Thursday, 19:30","CSKA Moscow","Ak Bars Kazan",2,32,0,23
"82",37859,"Game # 82. 19 September 2013, Thursday, 20:30","Dinamo Riga","Dynamo Moscow",2,26,2,31
"83",37860,"Game # 83. 19 September 2013, Thursday, 21:00","Slovan Bratislava","Vityaz Moscow Region",1,38,4,23
"84",37861,"Game # 84. 19 September 2013, Thursday, 21:00","Lev Prague","Torpedo Nizhny Novgorod",3,31,3,34
"85",37862,"Game # 85. 20 September 2013, Friday, 17:00","Traktor Chelyabinsk","Amur Khabarovsk",1,31,1,26
"86",37863,"Game # 86. 20 September 2013, Friday, 17:00","Metallurg Magnitogorsk","Admiral Vladivostok",4,21,1,24
"87",37864,"Game # 87. 20 September 2013, Friday, 17:00","Salavat Yulaev Ufa","Sibir Novosibirsk Region",2,26,3,30
"88",37865,"Game # 88. 20 September 2013, Friday, 19:00","Neftekhimik Nizhnekamsk","Metallurg Novokuznetsk",6,50,3,41
"89",37866,"Game # 89. 20 September 2013, Friday, 19:00","Lokomotiv Yaroslavl","Medvescak Zagreb",2,39,2,25
"90",37867,"Game # 90. 20 September 2013, Friday, 19:00","Severstal Cherepovets","Donbass Donetsk",0,27,4,37
"91",37868,"Game # 91. 20 September 2013, Friday, 19:30","Atlant Moscow Region","Dinamo Minsk",3,31,2,16
"92",37869,"Game # 92. 20 September 2013, Friday, 19:30","SKA Saint Petersburg","Spartak Moscow",4,28,1,27
"93",37870,"Game # 93. 21 September 2013, Saturday, 17:00","CSKA Moscow","Torpedo Nizhny Novgorod",1,29,2,22
"94",37871,"Game # 94. 21 September 2013, Saturday, 18:00","Dinamo Riga","Vityaz Moscow Region",6,30,1,17
"95",37872,"Game # 95. 21 September 2013, Saturday, 19:30","Slovan Bratislava","Ak Bars Kazan",2,25,1,23
"96",37873,"Game # 96. 21 September 2013, Saturday, 19:30","Lev Prague","Dynamo Moscow",2,33,1,22
"97",37874,"Game # 97. 22 September 2013, Sunday, 14:00","Avangard Omsk Region","Ugra Khanty-Mansiysk",2,26,6,21
"98",37875,"Game # 98. 22 September 2013, Sunday, 15:00","Barys Astana","Avtomobilist Yekaterinburg",7,35,2,22
"99",37876,"Game # 99. 22 September 2013, Sunday, 15:00","Traktor Chelyabinsk","Admiral Vladivostok",3,25,1,30
"100",37877,"Game # 100. 22 September 2013, Sunday, 15:00","Metallurg Magnitogorsk","Amur Khabarovsk",6,28,1,30
"101",37878,"Game # 101. 22 September 2013, Sunday, 15:00","Salavat Yulaev Ufa","Metallurg Novokuznetsk",4,25,3,34
"102",37879,"Game # 102. 22 September 2013, Sunday, 17:00","Neftekhimik Nizhnekamsk","Sibir Novosibirsk Region",4,30,3,37
"103",37880,"Game # 103. 22 September 2013, Sunday, 17:00","Lokomotiv Yaroslavl","Dinamo Minsk",4,36,1,27
"104",37881,"Game # 104. 22 September 2013, Sunday, 17:00","Severstal Cherepovets","Spartak Moscow",4,36,5,39
"105",37882,"Game # 105. 22 September 2013, Sunday, 17:00","Atlant Moscow Region","Medvescak Zagreb",3,46,2,41
"106",37883,"Game # 106. 22 September 2013, Sunday, 17:30","SKA Saint Petersburg","Donbass Donetsk",2,39,4,20
"107",37884,"Game # 107. 23 September 2013, Monday, 20:30","Dinamo Riga","Torpedo Nizhny Novgorod",2,31,3,18
"108",37885,"Game # 108. 23 September 2013, Monday, 21:00","Slovan Bratislava","Dynamo Moscow",4,14,5,30
"109",37886,"Game # 109. 23 September 2013, Monday, 21:00","Lev Prague","Ak Bars Kazan",1,34,2,23
"110",37887,"Game # 110. 24 September 2013, Tuesday, 19:00","Vityaz Moscow Region","CSKA Moscow",3,29,2,33
"111",37888,"Game # 111. 26 September 2013, Thursday, 19:30","Atlant Moscow Region","Vityaz Moscow Region",3,35,1,22
"112",37889,"Game # 112. 26 September 2013, Thursday, 19:30","Spartak Moscow","Avtomobilist Yekaterinburg",1,24,1,25
"113",37890,"Game # 113. 26 September 2013, Thursday, 20:00","Donbass Donetsk","Barys Astana",2,46,4,20
"114",37891,"Game # 114. 26 September 2013, Thursday, 21:30","Medvescak Zagreb","Ugra Khanty-Mansiysk",2,35,1,24
"115",37892,"Game # 115. 27 September 2013, Friday, 13:00","Admiral Vladivostok","CSKA Moscow",4,21,2,25
"116",37893,"Game # 116. 27 September 2013, Friday, 12:00","Amur Khabarovsk","Dinamo Riga",2,33,1,29
"117",37894,"Game # 117. 27 September 2013, Friday, 16:00","Metallurg Novokuznetsk","Lev Prague",3,17,5,40
"118",37895,"Game # 118. 27 September 2013, Friday, 16:00","Sibir Novosibirsk Region","Slovan Bratislava",3,42,1,40
"119",37896,"Game # 119.  3 October 2013, Thursday, 17:00","Metallurg Magnitogorsk","Traktor Chelyabinsk",3,31,0,23
"120",37897,"Game # 120. 27 September 2013, Friday, 17:00","Salavat Yulaev Ufa","Neftekhimik Nizhnekamsk",2,27,1,35
"121",37898,"Game # 121. 27 September 2013, Friday, 19:30","Ak Bars Kazan","Severstal Cherepovets",1,24,0,25
"122",37899,"Game # 122. 27 September 2013, Friday, 19:00","Torpedo Nizhny Novgorod","Lokomotiv Yaroslavl",5,31,0,21
"123",37900,"Game # 123. 27 September 2013, Friday, 19:30","Dynamo Moscow","SKA Saint Petersburg",2,34,6,35
"124",37901,"Game # 124. 28 September 2013, Saturday, 17:00","Spartak Moscow","Avangard Omsk Region",2,32,2,24
"125",37902,"Game # 125. 28 September 2013, Saturday, 18:00","Donbass Donetsk","Ugra Khanty-Mansiysk",2,32,0,27
"126",37903,"Game # 126. 28 September 2013, Saturday, 18:00","Dinamo Minsk","Avtomobilist Yekaterinburg",2,36,0,23
"127",37904,"Game # 127. 28 September 2013, Saturday, 19:30","Medvescak Zagreb","Barys Astana",3,35,2,35
"128",37905,"Game # 128. 29 September 2013, Sunday, 10:00","Admiral Vladivostok","Dinamo Riga",3,20,0,24
"129",37906,"Game # 129. 29 September 2013, Sunday, 10:00","Amur Khabarovsk","CSKA Moscow",1,31,3,32
"130",37907,"Game # 130. 29 September 2013, Sunday, 14:00","Metallurg Novokuznetsk","Slovan Bratislava",1,26,3,33
"131",37908,"Game # 131. 29 September 2013, Sunday, 14:00","Sibir Novosibirsk Region","Lev Prague",5,25,3,42
"132",37909,"Game # 132. 29 September 2013, Sunday, 15:00","Metallurg Magnitogorsk","Neftekhimik Nizhnekamsk",4,36,3,32
"133",37910,"Game # 133. 29 September 2013, Sunday, 15:00","Salavat Yulaev Ufa","Traktor Chelyabinsk",3,49,1,21
"134",37911,"Game # 134. 29 September 2013, Sunday, 17:30","Ak Bars Kazan","Lokomotiv Yaroslavl",2,25,0,25
"135",37912,"Game # 135. 29 September 2013, Sunday, 17:00","Torpedo Nizhny Novgorod","Severstal Cherepovets",0,22,2,23
"136",37913,"Game # 136. 29 September 2013, Sunday, 17:30","Vityaz Moscow Region","SKA Saint Petersburg",2,31,2,34
"137",37914,"Game # 137. 29 September 2013, Sunday, 17:00","Dynamo Moscow","Atlant Moscow Region",3,25,2,27
"138",37915,"Game # 138. 30 September 2013, Monday, 19:30","Spartak Moscow","Ugra Khanty-Mansiysk",0,36,1,22
"139",37916,"Game # 139. 30 September 2013, Monday, 20:00","Donbass Donetsk","Avangard Omsk Region",6,25,1,28
"140",37917,"Game # 140. 30 September 2013, Monday, 20:00","Dinamo Minsk","Barys Astana",2,41,5,33
"141",37918,"Game # 141. 30 September 2013, Monday, 21:30","Medvescak Zagreb","Avtomobilist Yekaterinburg",3,21,0,32
"142",37919,"Game # 142.  1 October 2013, Tuesday, 13:00","Admiral Vladivostok","Lev Prague",2,32,3,34
"143",37920,"Game # 143.  1 October 2013, Tuesday, 12:00","Amur Khabarovsk","Slovan Bratislava",2,33,5,28
"144",37921,"Game # 144.  1 October 2013, Tuesday, 16:00","Metallurg Novokuznetsk","CSKA Moscow",2,28,3,40
"145",37922,"Game # 145.  1 October 2013, Tuesday, 16:00","Sibir Novosibirsk Region","Dinamo Riga",1,30,4,32
"146",37923,"Game # 146.  1 October 2013, Tuesday, 19:00","Ak Bars Kazan","Atlant Moscow Region",4,24,2,21
"147",37924,"Game # 147.  1 October 2013, Tuesday, 19:30","Torpedo Nizhny Novgorod","SKA Saint Petersburg",5,23,2,26
"148",37925,"Game # 148.  1 October 2013, Tuesday, 19:00","Vityaz Moscow Region","Lokomotiv Yaroslavl",2,34,3,28
"149",37926,"Game # 149.  1 October 2013, Tuesday, 19:30","Dynamo Moscow","Severstal Cherepovets",3,33,1,20
"150",37927,"Game # 150.  2 October 2013, Wednesday, 19:00","Neftekhimik Nizhnekamsk","Salavat Yulaev Ufa",4,34,3,28
"151",37928,"Game # 151.  2 October 2013, Wednesday, 19:30","Spartak Moscow","Barys Astana",3,26,4,26
"152",37929,"Game # 152.  2 October 2013, Wednesday, 19:30","Donbass Donetsk","Avtomobilist Yekaterinburg",4,26,2,23
"153",37930,"Game # 153.  2 October 2013, Wednesday, 20:00","Dinamo Minsk","Ugra Khanty-Mansiysk",5,28,3,34
"154",37931,"Game # 154.  2 October 2013, Wednesday, 21:30","Medvescak Zagreb","Avangard Omsk Region",4,16,0,39
"155",37932,"Game # 155.  3 October 2013, Thursday, 13:00","Admiral Vladivostok","Slovan Bratislava",3,37,1,27
"156",37933,"Game # 156.  3 October 2013, Thursday, 12:00","Amur Khabarovsk","Lev Prague",3,31,0,35
"157",37934,"Game # 157.  3 October 2013, Thursday, 16:00","Metallurg Novokuznetsk","Dinamo Riga",0,35,2,25
"158",37935,"Game # 158.  3 October 2013, Thursday, 16:00","Sibir Novosibirsk Region","CSKA Moscow",3,35,2,34
"159",37936,"Game # 159. 26 September 2013, Thursday, 17:00","Traktor Chelyabinsk","Metallurg Magnitogorsk",0,34,5,24
"160",37937,"Game # 160.  3 October 2013, Thursday, 19:30","Ak Bars Kazan","SKA Saint Petersburg",1,31,3,28
"161",37938,"Game # 161.  3 October 2013, Thursday, 19:30","Torpedo Nizhny Novgorod","Atlant Moscow Region",1,28,3,17
"162",37939,"Game # 162.  3 October 2013, Thursday, 19:00","Vityaz Moscow Region","Severstal Cherepovets",3,27,1,29
"163",37940,"Game # 163.  3 October 2013, Thursday, 19:30","Dynamo Moscow","Lokomotiv Yaroslavl",1,27,3,31
"164",37941,"Game # 164.  4 October 2013, Friday, 20:00","Dinamo Minsk","Avangard Omsk Region",4,25,3,37
"165",37942,"Game # 165.  5 October 2013, Saturday, 17:00","Dynamo Moscow","Spartak Moscow",2,32,1,18
"166",37943,"Game # 166.  6 October 2013, Sunday, 15:00","Avtomobilist Yekaterinburg","Donbass Donetsk",0,25,3,30
"167",37944,"Game # 167.  7 October 2013, Monday, 19:00","Lokomotiv Yaroslavl","Metallurg Novokuznetsk",1,41,0,22
"168",37945,"Game # 168.  7 October 2013, Monday, 19:00","Severstal Cherepovets","Sibir Novosibirsk Region",2,39,3,33
"169",37946,"Game # 169.  7 October 2013, Monday, 19:30","Atlant Moscow Region","Admiral Vladivostok",2,13,1,35
"170",37947,"Game # 170.  7 October 2013, Monday, 19:30","SKA Saint Petersburg","Amur Khabarovsk",4,37,3,23
"171",37948,"Game # 171.  7 October 2013, Monday, 18:30","CSKA Moscow","Salavat Yulaev Ufa",3,26,2,26
"172",37949,"Game # 172.  7 October 2013, Monday, 21:00","Lev Prague","Metallurg Magnitogorsk",3,30,4,26
"173",37950,"Game # 173.  7 October 2013, Monday, 21:30","Medvescak Zagreb","Neftekhimik Nizhnekamsk",6,38,0,30
"174",37951,"Game # 174.  8 October 2013, Tuesday, 16:00","Avangard Omsk Region","Dynamo Moscow",0,36,6,23
"175",37952,"Game # 175.  8 October 2013, Tuesday, 17:00","Barys Astana","Vityaz Moscow Region",2,39,2,23
"176",37953,"Game # 176.  8 October 2013, Tuesday, 17:00","Ugra Khanty-Mansiysk","Ak Bars Kazan",3,28,4,33
"177",37954,"Game # 177.  8 October 2013, Tuesday, 17:00","Avtomobilist Yekaterinburg","Torpedo Nizhny Novgorod",2,30,4,33
"178",37955,"Game # 178.  8 October 2013, Tuesday, 19:30","Spartak Moscow","Donbass Donetsk",2,33,1,23
"179",37956,"Game # 179.  9 October 2013, Wednesday, 19:00","Lokomotiv Yaroslavl","Admiral Vladivostok",4,32,0,37
"180",37957,"Game # 180.  9 October 2013, Wednesday, 19:00","Severstal Cherepovets","Amur Khabarovsk",3,40,2,39
"181",37958,"Game # 181.  9 October 2013, Wednesday, 19:30","Atlant Moscow Region","Metallurg Novokuznetsk",2,37,1,21
"182",37959,"Game # 182.  9 October 2013, Wednesday, 19:30","SKA Saint Petersburg","Sibir Novosibirsk Region",1,24,1,22
"183",37960,"Game # 183.  9 October 2013, Wednesday, 19:30","CSKA Moscow","Traktor Chelyabinsk",1,32,3,16
"184",37961,"Game # 184.  9 October 2013, Wednesday, 20:00","Dinamo Minsk","Medvescak Zagreb",2,21,3,43
"185",37962,"Game # 185.  9 October 2013, Wednesday, 20:30","Dinamo Riga","Salavat Yulaev Ufa",2,28,5,29
"186",37963,"Game # 186.  9 October 2013, Wednesday, 21:00","Slovan Bratislava","Metallurg Magnitogorsk",4,42,3,23
"187",37964,"Game # 187.  9 October 2013, Wednesday, 21:00","Lev Prague","Neftekhimik Nizhnekamsk",2,38,0,25
"188",37965,"Game # 188. 10 October 2013, Thursday, 16:00","Avangard Omsk Region","Vityaz Moscow Region",3,32,1,13
