"","X","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots","HomePDO","AwayPDO","HomeTSR","AwayTSR","HomeWins","AwayWins"
"170",170,21819,2008-10-09,"Sibir Novosibirsk Region","Traktor Chelyabinsk",5,26,1,17,1133,867,0.604651162790698,0.395348837209302,"win","loss"
"171",171,21820,2008-10-09,"Dinamo Riga","SKA Saint Petersburg",1,17,1,40,1034,966,0.298245614035088,0.701754385964912,"draw","draw"
"172",172,21821,2008-10-09,"Dinamo Minsk","Lokomotiv Yaroslavl",0,17,2,16,875,1125,0.515151515151515,0.484848484848485,"loss","win"
"173",173,21822,2008-10-09,"Dynamo M","Severstal Cherepovets",4,29,1,23,1094,906,0.557692307692308,0.442307692307692,"win","loss"
"174",174,21823,2008-10-09,"Spartak Moscow","Avangard Omsk Region",2,22,5,21,853,1147,0.511627906976744,0.488372093023256,"loss","win"
"175",175,21824,2008-10-10,"Amur Khabarovsk","Salavat Yulaev Ufa",0,26,3,29,897,1103,0.472727272727273,0.527272727272727,"loss","win"
"176",176,21825,2008-10-10,"Spartak Moscow","Khimik",5,31,3,27,1050,950,0.53448275862069,0.46551724137931,"win","loss"
"177",177,21826,2008-10-10,"Vityaz Moscow Region","Barys Astana",4,21,5,32,1034,966,0.39622641509434,0.60377358490566,"loss","win"
"178",178,21827,2008-10-11,"Torpedo Nizhny Novgorod","Ak Bars Kazan",0,36,3,28,893,1107,0.5625,0.4375,"loss","win"
"179",179,21828,2008-10-11,"HC MVD","Neftekhimik Nizhnekamsk",4,22,1,19,1129,871,0.536585365853659,0.463414634146341,"win","loss"
"180",180,21829,2008-10-11,"Atlant Moscow Region","Lada",3,20,0,19,1150,850,0.512820512820513,0.487179487179487,"win","loss"
"181",181,21830,2008-10-11,"Amur Khabarovsk","Metallurg Magnitogorsk",0,29,3,33,909,1091,0.467741935483871,0.532258064516129,"loss","win"
"182",182,21831,2008-10-11,"Metallurg Novokuznetsk","Traktor Chelyabinsk",3,19,2,37,1104,896,0.339285714285714,0.660714285714286,"win","loss"
"183",183,21832,2008-10-11,"Dinamo Riga","Severstal Cherepovets",1,26,2,35,981,1019,0.426229508196721,0.573770491803279,"loss","win"
"184",184,21833,2008-10-11,"Dinamo Minsk","SKA Saint Petersburg",0,13,3,19,842,1158,0.40625,0.59375,"loss","win"
"185",185,21834,2008-10-11,"Dynamo M","Lokomotiv Yaroslavl",2,28,0,23,1071,929,0.549019607843137,0.450980392156863,"win","loss"
"186",186,21835,2008-10-11,"CSKA Moscow","Avangard Omsk Region",4,23,2,24,1091,909,0.48936170212766,0.51063829787234,"win","loss"
"187",187,21836,2008-10-12,"Metallurg Novokuznetsk","Salavat Yulaev Ufa",1,33,4,32,905,1095,0.507692307692308,0.492307692307692,"loss","win"
"188",188,21837,2008-10-12,"Spartak Moscow","Barys Astana",4,27,3,38,1069,931,0.415384615384615,0.584615384615385,"win","loss"
"189",189,21838,2008-10-13,"Dinamo Riga","Lokomotiv Yaroslavl",2,44,3,33,955,1045,0.571428571428571,0.428571428571429,"loss","win"
"190",190,21839,2008-10-13,"Dinamo Minsk","Severstal Cherepovets",3,16,7,30,954,1046,0.347826086956522,0.652173913043478,"loss","win"
"191",191,21840,2008-10-13,"Dynamo M","SKA Saint Petersburg",4,23,1,21,1126,874,0.522727272727273,0.477272727272727,"win","loss"
"192",192,21841,2008-10-13,"Vityaz Moscow Region","Avangard Omsk Region",5,29,4,24,1006,994,0.547169811320755,0.452830188679245,"win","loss"
"193",193,21842,2008-10-14,"Traktor Chelyabinsk","HC MVD",3,26,1,22,1070,930,0.541666666666667,0.458333333333333,"win","loss"
"194",194,21843,2008-10-14,"Neftekhimik Nizhnekamsk","Barys Astana",4,19,2,25,1131,869,0.431818181818182,0.568181818181818,"win","loss"
"195",195,21844,2008-10-14,"Sibir Novosibirsk Region","Salavat Yulaev Ufa",2,14,9,19,669,1331,0.424242424242424,0.575757575757576,"loss","win"
"196",196,21845,2008-10-15,"Khimik","SKA Saint Petersburg",2,14,2,26,1066,934,0.35,0.65,"draw","draw"
"197",197,21846,2008-10-16,"Metallurg Magnitogorsk","HC MVD",5,39,0,37,1128,872,0.513157894736842,0.486842105263158,"win","loss"
"198",198,21847,2008-10-16,"Neftekhimik Nizhnekamsk","Spartak Moscow",6,30,1,21,1152,848,0.588235294117647,0.411764705882353,"win","loss"
"199",199,21848,2008-10-17,"Amur Khabarovsk","Sibir Novosibirsk Region",4,29,3,25,1018,982,0.537037037037037,0.462962962962963,"win","loss"
"200",200,21849,2008-10-17,"Metallurg Novokuznetsk","Atlant Moscow Region",1,26,1,42,1015,985,0.382352941176471,0.617647058823529,"draw","draw"
"201",201,21850,2008-10-17,"Metallurg Magnitogorsk","Torpedo Nizhny Novgorod",4,29,1,23,1094,906,0.557692307692308,0.442307692307692,"win","loss"
"202",202,21851,2008-10-17,"Ak Bars Kazan","CSKA Moscow",1,16,1,20,1012,988,0.444444444444444,0.555555555555556,"draw","draw"
"203",203,21852,2008-10-17,"Lada","Vityaz Moscow Region",7,27,4,32,1134,866,0.457627118644068,0.542372881355932,"win","loss"
"204",204,21853,2008-10-17,"Lokomotiv Yaroslavl","Severstal Cherepovets",1,37,1,26,989,1011,0.587301587301587,0.412698412698413,"draw","draw"
"205",205,21854,2008-10-18,"Amur Khabarovsk","Sibir Novosibirsk Region",1,26,2,25,958,1042,0.509803921568627,0.490196078431373,"loss","win"
"206",206,21855,2008-10-18,"Salavat Yulaev Ufa","HC MVD",3,35,1,23,1042,958,0.603448275862069,0.396551724137931,"win","loss"
"207",207,21856,2008-10-18,"Ak Bars Kazan","Spartak Moscow",3,35,2,18,975,1025,0.660377358490566,0.339622641509434,"win","loss"
"208",208,21857,2008-10-25,"Avangard Omsk Region","Dynamo M",2,32,2,40,1012,988,0.444444444444444,0.555555555555556,"draw","draw"
"209",209,21858,2008-10-18,"Barys Astana","Dinamo Minsk",5,36,2,29,1070,930,0.553846153846154,0.446153846153846,"win","loss"
"210",210,21859,2008-10-18,"Khimik","Dinamo Riga",1,22,2,24,962,1038,0.478260869565217,0.521739130434783,"loss","win"
"211",211,21860,2008-10-19,"Metallurg Magnitogorsk","Atlant Moscow Region",5,41,5,25,922,1078,0.621212121212121,0.378787878787879,"draw","draw"
"212",212,21861,2008-10-19,"Salavat Yulaev Ufa","Torpedo Nizhny Novgorod",7,26,1,31,1237,763,0.456140350877193,0.543859649122807,"win","loss"
"213",213,21862,2008-10-19,"Neftekhimik Nizhnekamsk","Vityaz Moscow Region",3,26,2,22,1024,976,0.541666666666667,0.458333333333333,"win","loss"
"214",214,21863,2008-10-19,"Lada","CSKA Moscow",1,19,3,31,956,1044,0.38,0.62,"loss","win"
"215",215,21864,2008-10-20,"Amur Khabarovsk","Metallurg Novokuznetsk",2,24,2,26,1006,994,0.48,0.52,"draw","draw"
"216",216,21865,2008-10-20,"Lada","Spartak Moscow",3,22,5,18,859,1141,0.55,0.45,"loss","win"
"217",217,21866,2008-10-20,"Avangard Omsk Region","Dinamo Minsk",5,35,3,17,966,1034,0.673076923076923,0.326923076923077,"win","loss"
"218",218,21867,2008-10-20,"Barys Astana","Dinamo Riga",3,29,0,24,1103,897,0.547169811320755,0.452830188679245,"win","loss"
"219",219,21868,2008-10-20,"Khimik","Dynamo M",2,23,2,35,1030,970,0.396551724137931,0.603448275862069,"draw","draw"
"220",220,21869,2008-10-20,"SKA Saint Petersburg","Lokomotiv Yaroslavl",3,26,2,24,1032,968,0.52,0.48,"win","loss"
"221",221,21870,2008-10-21,"Traktor Chelyabinsk","Torpedo Nizhny Novgorod",3,14,2,19,1109,891,0.424242424242424,0.575757575757576,"win","loss"
"222",222,21871,2008-10-21,"Salavat Yulaev Ufa","Atlant Moscow Region",3,51,5,25,859,1141,0.671052631578947,0.328947368421053,"loss","win"
"223",223,21872,2008-10-21,"Ak Bars Kazan","Vityaz Moscow Region",3,23,2,21,1035,965,0.522727272727273,0.477272727272727,"win","loss"
"224",224,21873,2008-10-21,"Neftekhimik Nizhnekamsk","CSKA Moscow",2,20,4,21,910,1090,0.48780487804878,0.51219512195122,"loss","win"
"225",225,21874,2008-10-22,"Sibir Novosibirsk Region","Metallurg Novokuznetsk",3,28,0,16,1107,893,0.636363636363636,0.363636363636364,"win","loss"
"226",226,21875,2008-10-22,"Lada","Lokomotiv Yaroslavl",2,27,3,22,938,1062,0.551020408163265,0.448979591836735,"loss","win"
"227",227,21876,2008-10-22,"Avangard Omsk Region","Dinamo Riga",2,36,3,24,931,1069,0.6,0.4,"loss","win"
"228",228,21877,2008-10-22,"Barys Astana","Dynamo M",4,37,4,21,918,1082,0.637931034482759,0.362068965517241,"draw","draw"
"229",229,21878,2008-10-22,"Khimik","Dinamo Minsk",1,20,3,26,935,1065,0.434782608695652,0.565217391304348,"loss","win"
"230",230,21879,2008-10-22,"Severstal Cherepovets","Spartak Moscow",2,25,5,18,802,1198,0.581395348837209,0.418604651162791,"loss","win"
"231",231,21880,2008-10-23,"Traktor Chelyabinsk","Atlant Moscow Region",2,21,1,24,1054,946,0.466666666666667,0.533333333333333,"win","loss"
"232",232,21881,2008-10-23,"Avangard Omsk Region","Dinamo Riga",3,28,0,34,1107,893,0.451612903225806,0.548387096774194,"win","loss"
"233",233,21882,2008-10-23,"CSKA Moscow","Vityaz Moscow Region",2,33,2,19,955,1045,0.634615384615385,0.365384615384615,"draw","draw"
"234",234,21883,2008-10-24,"HC MVD","Metallurg Magnitogorsk",4,26,2,15,1021,979,0.634146341463415,0.365853658536585,"win","loss"
"235",235,21884,2008-10-24,"Traktor Chelyabinsk","Amur Khabarovsk",2,24,2,28,1012,988,0.461538461538462,0.538461538461538,"draw","draw"
"236",236,21885,2008-10-24,"Neftekhimik Nizhnekamsk","Ak Bars Kazan",4,19,1,23,1167,833,0.452380952380952,0.547619047619048,"win","loss"
"237",237,21886,2008-10-25,"SKA Saint Petersburg","CSKA Moscow",4,30,3,31,1037,963,0.491803278688525,0.508196721311475,"win","loss"
"238",238,21887,2008-10-25,"Severstal Cherepovets","Salavat Yulaev Ufa",4,34,3,32,1024,976,0.515151515151515,0.484848484848485,"win","loss"
"239",239,21888,2008-10-26,"Torpedo Nizhny Novgorod","Barys Astana",2,24,3,22,947,1053,0.521739130434783,0.478260869565217,"loss","win"
"240",240,21889,2008-10-26,"Lokomotiv Yaroslavl","Amur Khabarovsk",7,31,1,26,1187,813,0.543859649122807,0.456140350877193,"win","loss"
"241",241,21890,2008-10-26,"Dinamo Riga","Ak Bars Kazan",2,33,3,29,957,1043,0.532258064516129,0.467741935483871,"loss","win"
"242",242,21891,2008-10-27,"Metallurg Magnitogorsk","CSKA Moscow",3,27,3,21,968,1032,0.5625,0.4375,"draw","draw"
"243",243,21892,2008-10-27,"Lokomotiv Yaroslavl","Avangard Omsk Region",3,19,2,34,1099,901,0.358490566037736,0.641509433962264,"win","loss"
"244",244,21893,2008-10-27,"Dinamo Riga","Lada",0,21,6,44,864,1136,0.323076923076923,0.676923076923077,"loss","win"
"245",245,21894,2008-10-27,"Dynamo M","Neftekhimik Nizhnekamsk",0,25,2,27,926,1074,0.480769230769231,0.519230769230769,"loss","win"
"246",246,21895,2008-10-27,"Spartak Moscow","Salavat Yulaev Ufa",0,37,3,29,897,1103,0.560606060606061,0.439393939393939,"loss","win"
"247",247,21896,2008-10-27,"Vityaz Moscow Region","Traktor Chelyabinsk",3,33,1,30,1058,942,0.523809523809524,0.476190476190476,"win","loss"
"248",248,21897,2008-10-28,"Torpedo Nizhny Novgorod","Metallurg Novokuznetsk",3,35,0,20,1086,914,0.636363636363636,0.363636363636364,"win","loss"
"249",249,21898,2008-10-28,"HC MVD","Amur Khabarovsk",0,24,3,13,769,1231,0.648648648648649,0.351351351351351,"loss","win"
"250",250,21899,2008-10-28,"Atlant Moscow Region","Sibir Novosibirsk Region",2,30,1,25,1027,973,0.545454545454545,0.454545454545455,"win","loss"
"251",251,21900,2008-10-28,"SKA Saint Petersburg","Khimik",3,43,5,32,914,1086,0.573333333333333,0.426666666666667,"loss","win"
"252",252,21901,2008-10-28,"Severstal Cherepovets","Barys Astana",2,31,6,24,815,1185,0.563636363636364,0.436363636363636,"loss","win"
"253",253,21902,2008-10-28,"Dinamo Minsk","Ak Bars Kazan",3,15,8,20,800,1200,0.428571428571429,0.571428571428571,"loss","win"
"254",254,21903,2008-10-29,"SKA Saint Petersburg","Avangard Omsk Region",5,31,0,26,1161,839,0.543859649122807,0.456140350877193,"win","loss"
"255",255,21904,2008-10-29,"Dinamo Riga","Neftekhimik Nizhnekamsk",1,26,5,40,913,1087,0.393939393939394,0.606060606060606,"loss","win"
"256",256,21905,2008-10-29,"Dinamo Minsk","Lada",3,19,1,31,1126,874,0.38,0.62,"win","loss"
"257",257,21906,2008-10-29,"CSKA Moscow","Traktor Chelyabinsk",0,14,1,31,968,1032,0.311111111111111,0.688888888888889,"loss","win"
"258",258,21907,2008-10-29,"Vityaz Moscow Region","Spartak Moscow",4,39,7,29,861,1139,0.573529411764706,0.426470588235294,"loss","win"
"259",259,21908,2008-10-30,"Torpedo Nizhny Novgorod","Amur Khabarovsk",4,31,4,29,991,1009,0.516666666666667,0.483333333333333,"draw","draw"
"260",260,21909,2008-10-30,"HC MVD","Sibir Novosibirsk Region",3,26,0,24,1115,885,0.52,0.48,"win","loss"
"261",261,21910,2008-10-30,"Atlant Moscow Region","Metallurg Novokuznetsk",3,38,3,29,975,1025,0.567164179104478,0.432835820895522,"draw","draw"
"262",262,21911,2008-10-30,"Severstal Cherepovets","Khimik",1,35,1,15,962,1038,0.7,0.3,"draw","draw"
"263",263,21912,2008-10-30,"Lokomotiv Yaroslavl","Barys Astana",7,50,1,20,1090,910,0.714285714285714,0.285714285714286,"win","loss"
"264",264,21913,2009-01-13,"Dynamo M","Ak Bars Kazan",4,15,3,22,1130,870,0.405405405405405,0.594594594594595,"win","loss"
"265",265,21914,2008-10-31,"Metallurg Magnitogorsk","Vityaz Moscow Region",1,38,1,18,971,1029,0.678571428571429,0.321428571428571,"draw","draw"
"266",266,21915,2008-10-31,"Severstal Cherepovets","Avangard Omsk Region",1,30,4,24,867,1133,0.555555555555556,0.444444444444444,"loss","win"
"267",267,21916,2008-10-31,"Dinamo Minsk","Neftekhimik Nizhnekamsk",4,22,1,23,1138,862,0.488888888888889,0.511111111111111,"win","loss"
"268",268,21917,2008-10-31,"Dynamo M","Lada",4,24,3,16,979,1021,0.6,0.4,"win","loss"
"269",269,21918,2008-10-31,"CSKA Moscow","Salavat Yulaev Ufa",5,32,4,25,996,1004,0.56140350877193,0.43859649122807,"win","loss"
"270",270,21919,2008-10-31,"Spartak Moscow","Traktor Chelyabinsk",4,24,0,28,1167,833,0.461538461538462,0.538461538461538,"win","loss"
"271",271,21920,2008-11-01,"Torpedo Nizhny Novgorod","Sibir Novosibirsk Region",4,24,1,26,1128,872,0.48,0.52,"win","loss"
"272",272,21921,2008-11-01,"HC MVD","Metallurg Novokuznetsk",5,26,1,15,1126,874,0.634146341463415,0.365853658536585,"win","loss"
"273",273,21922,2008-11-01,"Atlant Moscow Region","Amur Khabarovsk",3,24,0,22,1125,875,0.521739130434783,0.478260869565217,"win","loss"
"274",274,21923,2008-11-01,"SKA Saint Petersburg","Barys Astana",4,42,2,21,1000,1000,0.666666666666667,0.333333333333333,"win","loss"
"275",275,21924,2008-11-01,"Lokomotiv Yaroslavl","Khimik",1,45,2,26,945,1055,0.633802816901408,0.366197183098592,"loss","win"
"276",276,21925,2008-11-02,"Salavat Yulaev Ufa","Vityaz Moscow Region",5,23,3,36,1134,866,0.389830508474576,0.610169491525424,"win","loss"
"277",277,21926,2008-11-02,"Ak Bars Kazan","Neftekhimik Nizhnekamsk",6,24,2,32,1188,812,0.428571428571429,0.571428571428571,"win","loss"
"278",278,21927,2008-11-02,"Dynamo M","Avangard Omsk Region",5,33,1,15,1085,915,0.6875,0.3125,"win","loss"
"279",279,21928,2008-11-02,"Spartak Moscow","Metallurg Magnitogorsk",1,26,4,22,857,1143,0.541666666666667,0.458333333333333,"loss","win"
"280",280,21929,2008-11-11,"Metallurg Magnitogorsk","Khimik",3,39,2,23,990,1010,0.629032258064516,0.370967741935484,"win","loss"
"281",281,21930,2008-11-20,"Avangard Omsk Region","Lokomotiv Yaroslavl",1,17,5,34,912,1088,0.333333333333333,0.666666666666667,"loss","win"
"282",282,21931,2008-11-12,"Metallurg Novokuznetsk","CSKA Moscow",0,17,1,36,972,1028,0.320754716981132,0.679245283018868,"loss","win"
"283",283,21932,2008-11-12,"Ak Bars Kazan","Torpedo Nizhny Novgorod",6,31,3,18,1027,973,0.63265306122449,0.36734693877551,"win","loss"
"284",284,21933,2008-11-12,"Neftekhimik Nizhnekamsk","Severstal Cherepovets",3,29,2,27,1029,971,0.517857142857143,0.482142857142857,"win","loss"
"285",285,21934,2008-11-12,"Dynamo M","Vityaz Moscow Region",4,47,2,14,942,1058,0.770491803278688,0.229508196721311,"win","loss"
"286",286,21935,2008-11-13,"HC MVD","SKA Saint Petersburg",0,18,4,10,600,1400,0.642857142857143,0.357142857142857,"loss","win"
"287",287,21936,2008-11-13,"Atlant Moscow Region","Dinamo Minsk",2,36,1,20,1006,994,0.642857142857143,0.357142857142857,"win","loss"
"288",288,21937,2008-11-13,"Sibir Novosibirsk Region","Avangard Omsk Region",4,19,1,14,1139,861,0.575757575757576,0.424242424242424,"win","loss"
"289",289,21938,2008-11-13,"Metallurg Magnitogorsk","Dinamo Riga",5,34,3,24,1022,978,0.586206896551724,0.413793103448276,"win","loss"
"290",290,21939,2008-11-13,"Traktor Chelyabinsk","Khimik",3,33,1,23,1047,953,0.589285714285714,0.410714285714286,"win","loss"
"291",291,21940,2008-11-13,"Lada","Lokomotiv Yaroslavl",2,33,2,29,992,1008,0.532258064516129,0.467741935483871,"draw","draw"
"292",292,21941,2008-11-14,"Amur Khabarovsk","Vityaz Moscow Region",1,22,0,24,1045,955,0.478260869565217,0.521739130434783,"win","loss"
"293",293,21942,2008-11-14,"Metallurg Novokuznetsk","Spartak Moscow",4,27,6,24,898,1102,0.529411764705882,0.470588235294118,"loss","win"
"294",294,21943,2008-11-14,"Sibir Novosibirsk Region","CSKA Moscow",3,30,3,29,997,1003,0.508474576271186,0.491525423728814,"draw","draw"
"295",295,21944,2008-11-14,"Neftekhimik Nizhnekamsk","Torpedo Nizhny Novgorod",1,35,3,19,871,1129,0.648148148148148,0.351851851851852,"loss","win"
"296",296,21945,2008-11-14,"Lada","Severstal Cherepovets",2,22,7,33,879,1121,0.4,0.6,"loss","win"
"297",297,21946,2008-11-14,"Dynamo M","Salavat Yulaev Ufa",3,31,6,24,847,1153,0.563636363636364,0.436363636363636,"loss","win"
"298",298,21947,2008-11-15,"Metallurg Magnitogorsk","Dinamo Minsk",3,35,3,27,975,1025,0.564516129032258,0.435483870967742,"draw","draw"
"299",299,21948,2008-11-15,"Traktor Chelyabinsk","Dinamo Riga",4,31,3,26,1014,986,0.543859649122807,0.456140350877193,"win","loss"
"300",300,21949,2008-11-15,"Ak Bars Kazan","Lokomotiv Yaroslavl",3,24,3,28,1018,982,0.461538461538462,0.538461538461538,"draw","draw"
"301",301,21950,2008-11-15,"Neftekhimik Nizhnekamsk","SKA Saint Petersburg",0,19,1,14,929,1071,0.575757575757576,0.424242424242424,"loss","win"
"302",302,21951,2008-11-15,"Barys Astana","Avangard Omsk Region",4,42,2,23,1008,992,0.646153846153846,0.353846153846154,"win","loss"
"303",303,21952,2008-11-16,"Atlant Moscow Region","Torpedo Nizhny Novgorod",8,33,2,22,1152,848,0.6,0.4,"win","loss"
"304",304,21953,2008-11-16,"Metallurg Novokuznetsk","Vityaz Moscow Region",3,25,1,34,1091,909,0.423728813559322,0.576271186440678,"win","loss"
"305",305,21954,2008-11-16,"Sibir Novosibirsk Region","Spartak Moscow",4,29,1,39,1112,888,0.426470588235294,0.573529411764706,"win","loss"
"306",306,21955,2008-11-16,"Ak Bars Kazan","Severstal Cherepovets",3,27,3,23,981,1019,0.54,0.46,"draw","draw"
"307",307,21956,2008-11-16,"Khimik","CSKA Moscow",3,30,3,33,1009,991,0.476190476190476,0.523809523809524,"draw","draw"
"308",308,21957,2008-11-17,"Metallurg Magnitogorsk","Dynamo M",4,38,3,34,1017,983,0.527777777777778,0.472222222222222,"win","loss"
"309",309,21958,2008-11-17,"Traktor Chelyabinsk","Dinamo Minsk",5,27,2,27,1111,889,0.5,0.5,"win","loss"
"310",310,21959,2008-11-17,"Salavat Yulaev Ufa","Dinamo Riga",4,41,0,20,1098,902,0.672131147540984,0.327868852459016,"win","loss"
"311",311,21960,2008-11-17,"Neftekhimik Nizhnekamsk","Lokomotiv Yaroslavl",1,28,1,28,1000,1000,0.5,0.5,"draw","draw"
"312",312,21961,2008-11-17,"Lada","SKA Saint Petersburg",0,21,4,25,840,1160,0.456521739130435,0.543478260869565,"loss","win"
"313",313,21962,2008-11-17,"Khimik","Avangard Omsk Region",3,17,1,30,1143,857,0.361702127659574,0.638297872340426,"win","loss"
"314",314,21963,2008-11-18,"Amur Khabarovsk","Spartak Moscow",3,39,2,16,952,1048,0.709090909090909,0.290909090909091,"win","loss"
"315",315,21964,2008-11-18,"Sibir Novosibirsk Region","Vityaz Moscow Region",7,48,4,32,1021,979,0.6,0.4,"win","loss"
"316",316,21965,2008-11-18,"CSKA Moscow","HC MVD",4,25,1,31,1128,872,0.446428571428571,0.553571428571429,"win","loss"
"317",317,21966,2008-11-19,"Traktor Chelyabinsk","Dynamo M",3,19,1,30,1125,875,0.387755102040816,0.612244897959184,"win","loss"
"318",318,21967,2008-11-19,"Salavat Yulaev Ufa","Dinamo Minsk",3,35,1,21,1038,962,0.625,0.375,"win","loss"
"319",319,21968,2008-11-19,"Ak Bars Kazan","SKA Saint Petersburg",1,20,3,17,874,1126,0.540540540540541,0.459459459459459,"loss","win"
"320",320,21969,2008-11-19,"Khimik","Barys Astana",3,26,6,36,949,1051,0.419354838709677,0.580645161290323,"loss","win"
"321",321,21970,2008-11-20,"Amur Khabarovsk","CSKA Moscow",3,21,6,27,921,1079,0.4375,0.5625,"loss","win"
"322",322,21971,2008-11-21,"Torpedo Nizhny Novgorod","HC MVD",3,34,1,37,1061,939,0.47887323943662,0.52112676056338,"win","loss"
"323",323,21972,2008-11-21,"Atlant Moscow Region","Metallurg Novokuznetsk",2,42,1,31,1015,985,0.575342465753425,0.424657534246575,"win","loss"
"324",324,21973,2008-11-21,"Metallurg Magnitogorsk","Sibir Novosibirsk Region",3,29,2,32,1041,959,0.475409836065574,0.524590163934426,"win","loss"
"325",325,21974,2008-11-21,"Salavat Yulaev Ufa","Dynamo M",7,42,6,34,990,1010,0.552631578947368,0.447368421052632,"win","loss"
"326",326,21975,2008-11-21,"Ak Bars Kazan","Barys Astana",7,38,0,30,1184,816,0.558823529411765,0.441176470588235,"win","loss"
"327",327,21976,2008-11-21,"Lada","Neftekhimik Nizhnekamsk",0,32,2,24,917,1083,0.571428571428571,0.428571428571429,"loss","win"
"328",328,21977,2008-11-23,"Neftekhimik Nizhnekamsk","Dynamo M",2,19,3,28,998,1002,0.404255319148936,0.595744680851064,"loss","win"
"329",329,21978,2008-11-23,"Avangard Omsk Region","Khimik",2,30,2,29,998,1002,0.508474576271186,0.491525423728814,"draw","draw"
"330",330,21979,2008-11-23,"Severstal Cherepovets","Atlant Moscow Region",2,25,2,22,989,1011,0.531914893617021,0.468085106382979,"draw","draw"
"331",331,21980,2008-11-23,"Lokomotiv Yaroslavl","Sibir Novosibirsk Region",2,32,0,26,1062,938,0.551724137931034,0.448275862068966,"win","loss"
"332",332,21981,2008-11-23,"Spartak Moscow","Metallurg Novokuznetsk",4,37,2,20,1008,992,0.649122807017544,0.350877192982456,"win","loss"
"333",333,21982,2008-11-23,"Vityaz Moscow Region","Amur Khabarovsk",2,20,3,19,942,1058,0.512820512820513,0.487179487179487,"loss","win"
"334",334,21983,2008-11-24,"Dinamo Riga","Lada",0,32,1,20,950,1050,0.615384615384615,0.384615384615385,"loss","win"
"335",335,21984,2008-11-24,"Dinamo Minsk","Traktor Chelyabinsk",3,28,2,20,1007,993,0.583333333333333,0.416666666666667,"win","loss"
"336",336,21985,2008-11-25,"Torpedo Nizhny Novgorod","Atlant Moscow Region",2,27,1,18,1019,981,0.6,0.4,"win","loss"
